,quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description
31342576,1996-10-01,225.0,510201,2.0,72.989998,C,510201,WOMEN'S SUIT
31342577,1995-05-01,70.0,510201,2.0,100.0,,510201,WOMEN'S SUIT
31342581,1988-12-01,64.0,510201,2.0,49.990002,,510201,WOMEN'S SUIT
31342591,1988-02-01,45.0,510201,2.0,24.99,,510201,WOMEN'S SUIT
31342593,1993-04-01,40.0,510201,2.0,37.98,R,510201,WOMEN'S SUIT
31342597,1992-02-01,45.0,510201,2.0,94.949997,,510201,WOMEN'S SUIT
31342603,1992-11-01,86.0,510201,2.0,64.980003,,510201,WOMEN'S SUIT
31342607,1996-03-01,806.0,510201,2.0,125.0,,510201,WOMEN'S SUIT
31342617,1992-10-01,106.0,510201,2.0,33.990002,,510201,WOMEN'S SUIT
31342621,1996-03-01,80.0,510201,2.0,125.0,,510201,WOMEN'S SUIT
31342626,1995-10-01,86.0,510201,2.0,75.0,,510201,WOMEN'S SUIT
